n,hash,digest_bits,field_extension,queries,blowup,grinding,fri_folding,fri_remainder_degree,run_index,native_time_s,prover_time_s,verify_time_ms,proof_size_bytes,conjectured_security_bits,binding_term,threads
16384,blake3_256,256,none,32,8,16,8,31,3,1.100171,7.739542,1.7183,85540,111,fri,1
16384,blake3_256,256,none,32,8,16,8,31,4,1.100171,7.781279,1.5093,85540,111,fri,1
16384,blake3_256,256,none,32,8,16,8,31,5,1.100171,7.762766,1.5398,85540,111,fri,1
16384,blake3_256,256,none,32,8,16,8,31,6,1.100171,7.769845,1.4654,85540,111,fri,1
16384,blake3_256,256,none,32,8,16,8,31,7,1.100171,7.773391,1.4976,85540,111,fri,1
65536,blake3_256,256,none,32,8,16,8,31,1,5.480937,34.536438,2.3484,101713,111,fri,1
65536,blake3_256,256,none,32,8,16,8,31,2,5.480937,33.583514,1.6598,101713,111,fri,1
65536,blake3_256,256,none,32,8,16,8,31,3,5.480937,33.652106,1.7292,101713,111,fri,1
65536,blake3_256,256,none,32,8,16,8,31,4,5.480937,33.608515,1.6678,101713,111,fri,1
65536,blake3_256,256,none,32,8,16,8,31,5,5.480937,33.617107,1.7136,101713,111,fri,1
65536,blake3_256,256,none,32,8,16,8,31,6,5.480937,33.601568,2.1915,101713,111,fri,1
65536,blake3_256,256,none,32,8,16,8,31,7,5.480937,35.694071,2.0397,101713,111,fri,1
262144,blake3_256,256,none,32,8,16,8,31,1,30.674830,149.210177,2.0547,121686,111,fri,1
262144,blake3_256,256,none,32,8,16,8,31,2,30.674830,146.220683,1.9882,121686,111,fri,1
262144,blake3_256,256,none,32,8,16,8,31,3,30.674830,145.837339,3.0273,121686,111,fri,1
262144,blake3_256,256,none,32,8,16,8,31,4,30.674830,145.646967,2.0060,121686,111,fri,1
262144,blake3_256,256,none,32,8,16,8,31,5,30.674830,146.158734,1.8681,121686,111,fri,1
262144,blake3_256,256,none,32,8,16,8,31,6,30.674830,149.833714,2.3928,121686,111,fri,1
262144,blake3_256,256,none,32,8,16,8,31,7,30.674830,139.597839,1.9482,121686,111,fri,1
1048576,blake3_256,256,none,32,8,16,8,31,1,125.746776,1727.900395,5.8500,141435,111,fri,1
1048576,blake3_256,256,none,32,8,16,8,31,2,125.746776,727.645704,4.7157,141435,111,fri,1
1048576,blake3_256,256,none,32,8,16,8,31,3,125.746776,722.835879,5.3619,141435,111,fri,1
1048576,blake3_256,256,none,32,8,16,8,31,4,125.746776,740.648911,11.6748,141435,111,fri,1
1048576,blake3_256,256,none,32,8,16,8,31,5,125.746776,743.955012,12.2361,141435,111,fri,1
1048576,blake3_256,256,none,32,8,16,8,31,6,125.746776,726.903320,5.8299,141435,111,fri,1
1048576,blake3_256,256,none,32,8,16,8,31,7,125.746776,2696.473427,6.5855,141435,111,fri,1
