sweep,workload,n,commit_hash,lambda_bits,num_queries,blowup_factor,grinding_factor,field_extension,fri_folding_factor,threads,machine,run_index,t_native_ms,t_prove_ms,t_verify_ms,proof_bytes,security_bits
S1,rescue_chain,65536,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,3,5480.937200,33652.106200,1.729200,101713,111
S1,rescue_chain,65536,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,4,5480.937200,33608.514900,1.667800,101713,111
S1,rescue_chain,65536,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,5,5480.937200,33617.107300,1.713600,101713,111
S1,rescue_chain,65536,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,6,5480.937200,33601.568200,2.191500,101713,111
S1,rescue_chain,65536,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,7,5480.937200,35694.070500,2.039700,101713,111
S1,rescue_chain,262144,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,1,30674.830300,149210.177000,2.054700,121686,111
S1,rescue_chain,262144,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,2,30674.830300,146220.682600,1.988200,121686,111
S1,rescue_chain,262144,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,3,30674.830300,145837.339300,3.027300,121686,111
S1,rescue_chain,262144,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,4,30674.830300,145646.967000,2.006000,121686,111
S1,rescue_chain,262144,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,5,30674.830300,146158.733700,1.868100,121686,111
S1,rescue_chain,262144,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,6,30674.830300,149833.713800,2.392800,121686,111
S1,rescue_chain,262144,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,7,30674.830300,139597.839300,1.948200,121686,111
S1,rescue_chain,1048576,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,1,125746.776000,1727900.395100,5.850000,141435,111
S1,rescue_chain,1048576,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,2,125746.776000,727645.704200,4.715700,141435,111
S1,rescue_chain,1048576,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,3,125746.776000,722835.878800,5.361900,141435,111
S1,rescue_chain,1048576,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,4,125746.776000,740648.910600,11.674800,141435,111
S1,rescue_chain,1048576,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,5,125746.776000,743955.011600,12.236100,141435,111
S1,rescue_chain,1048576,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,6,125746.776000,726903.320100,5.829900,141435,111
S1,rescue_chain,1048576,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,7,125746.776000,2696473.426500,6.585500,141435,111
